"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","3594","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","3083","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1674","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2915","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2883","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2676","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2604","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2731","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2510","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2807","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1950","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2252","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2284","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2342","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2154","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2129","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2197","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2121","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2060","","","","0"
"2024-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2007","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","2134","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1931","","","","0"
"2025-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1957","","","","0"
"2025-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1828","","","","0"
"2025-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1705","","","","0"
"2026-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","1697","","","","0"
"1981-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","634","","","","0"
"1981-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","658","","","","0"
